Vibe Coin,VIBE,0xe8ff5c9c75deb346acac493c463c8950be03dfba,18
RNTB Token,RNTB,0x1fe70be734e473e5721ea57c8b5b01e6caa52686,18
NANJCOIN,NANJ,0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265,8
Havven,HAV,0xf244176246168f24e3187f7288edbca29267739b,18
Lunyr,LUN,0xfa05A73FfE78ef8f1a739473e462c54bae6567D9,18
Soarcoin,Soar,0xD65960FAcb8E4a2dFcb2C2212cb2e44a02e2a57E,6
Dock,DOCK,0xe5dada80aa6477e85d09747f2842f7993d0df71c,18
Dai Stablecoin v1.0,DAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,18
KickCoin,KICK,0x27695e09149adc738a978e9a678f99e4c39e9eb9,8
TokenCard,TKN,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,8
CPChain,CPC,0xfAE4Ee59CDd86e3Be9e8b90b53AA866327D7c090,18
Melon,MLN,0xBEB9eF514a379B997e0798FDcC901Ee474B6D9A1,18
